time(in ms), time(in s),hsL, hsL*Vwidth, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
885,28,-22.78741837,-21875.92163,-6.132259369,-33.33189011,-4.406776428,784.0787315,213.0574,778.3330536,279.5852387,767.1934891,345.1048994,806.8652344,216.0259777,798.3140373,284.9146807,781.7348099,350.8974087,4.05,2.68,8.03,5.46,0.5,6.02
944,28,-22.55933762,-21656.96411,-6.314220428,-32.43221283,-3.899288177,784.3384552,213.2825446,778.466835,279.6967971,767.261467,345.1125276,806.5210533,216.2327921,798.8623238,284.6269977,782.1142387,350.623244,4.52,2.66,8.11,5.5,0.15,6.14
37,29,-22.33531952,-21441.90674,-6.515808105,-32.196064,-3.960514069,784.584446,213.4857059,778.6421013,279.7790015,767.4526978,345.1002324,806.6776657,216.299209,799.0374184,284.5650065,782.337513,350.551275,4.5,2.62,8.09,5.5,0.14,6.22
105,29,-22.4650383,-21566.43677,-6.697254181,-32.49217987,-4.150314331,784.8551559,213.5047925,778.7744522,279.7688305,767.5516319,345.0785065,806.9294357,216.2386501,799.1409302,284.3544102,782.2549438,350.4780829,4.49,2.57,8.16,5.51,0.29,6.33
179,29,-22.64001846,-21734.41772,-6.555919647,-32.67854691,-4.203414917,785.1633453,213.4871382,778.833847,279.7649682,767.7509308,345.0699127,807.1452713,216.110065,799.1745186,284.1796374,782.2467041,350.342803,4.42,2.38,8.18,5.45,0.52,6.54
246,29,-22.582798,-21679.48608,-6.276340485,-32.46379852,-4.117927551,785.1696396,213.4067684,778.8142204,279.7559559,767.8746986,344.9912488,807.1228981,215.985809,799.2298508,284.0060234,782.4084091,350.2250326,4.4,2.3,8.12,5.38,0.42,6.56
333,29,-22.49794006,-21598.02246,-6.103591919,-32.27611542,-4.175949097,785.150013,213.3103055,778.7994003,279.7452378,767.9831886,344.9043131,807.1417236,215.8510602,799.2420387,283.8425159,782.5448227,350.1895952,4.32,2.26,8.04,5.33,0.39,6.55
397,29,-22.44878769,-21550.83618,-5.997562408,-32.21534729,-4.228935242,785.144062,213.2313037,778.7861252,279.7408926,768.0593491,344.8380089,807.1828079,215.7616782,799.2321396,283.7605369,782.5900841,350.1450491,4.26,2.22,8.01,5.29,0.41,6.56
502,29,-22.4149704,-21518.37158,-5.880947113,-32.19051361,-4.28976059,785.1447487,213.1327325,778.7565422,279.7346485,768.1278419,344.8007369,807.2179413,215.6653118,799.2275047,283.6704469,782.6046181,350.1082921,4.23,2.16,8,5.24,0.42,6.57
562,29,-22.40398407,-21507.82471,-5.803184509,-32.20087051,-4.327011108,785.144062,213.0682307,778.7360573,279.7270846,768.1605721,344.6995103,807.2304726,215.6039804,799.2264175,283.6206543,782.5990105,350.0872743,4.22,2.14,8,5.22,0.42,6.58
646,29,-22.39179611,-21496.12427,-5.690059662,-32.20476151,-4.369125366,785.1428604,213.001669,778.7037277,279.7201324,768.1886673,344.6888244,807.2391129,215.536598,799.2257881,283.5673535,782.5935173,350.0538325,4.22,2.09,8,5.19,0.41,6.61
712,29,-22.38807678,-21492.55371,-5.63369751,-32.21340179,-4.385318756,785.1421738,212.9617739,778.6932564,279.7168171,768.1998825,344.683063,807.2466087,215.4994869,799.2257881,283.5414755,782.5905991,350.0385761,4.22,2.08,8,5.18,0.41,6.62
809,29,-22.38292694,-21487.60986,-5.565319061,-32.21740723,-4.401340485,785.1402855,212.92418,778.6724281,279.7107017,768.2128716,344.6764004,807.2487259,215.4580307,799.2256737,283.5167885,782.5438499,350.0123763,4.24,2.06,8.02,5.17,0.41,6.63
877,29,-22.37846375,-21483.3252,-5.512561798,-32.2215271,-4.416675568,785.1396561,212.8991067,778.6599541,279.7049403,768.222084,344.6709609,807.2519302,215.4319435,799.224987,283.4928739,782.5230217,349.9950922,4.25,2.04,8.03,5.16,0.41,6.64
963,29,-22.37474442,-21479.75464,-5.454940796,-32.22421646,-4.436359406,785.1387978,212.865504,778.6493111,279.6932888,768.2330132,344.6606612,807.2531891,215.3978741,799.2271614,283.4691846,782.5048256,349.9684095,4.26,2.03,8.04,5.15,0.41,6.65
25,30,-22.37188339,-21477.00806,-5.415802002,-32.22833633,-4.448318481,785.1382256,212.8387088,778.6331177,279.6873343,768.2387352,344.6541917,807.2546196,215.369904,799.2269325,283.4558272,782.4887466,349.9461043,4.27,2.01,8.05,5.13,0.4,6.66
106,30,-22.36862183,-21473.87695,-5.380382538,-32.23251343,-4.459877014,785.1373672,212.820636,778.6224174,279.6826029,768.2447433,344.6481085,807.2549057,215.340566,799.2278481,283.4391224,782.4720383,349.9190354,4.28,2,8.06,5.13,0.4,6.67
170,30,-22.36644745,-21471.78955,-5.358695984,-32.23302841,-4.468002319,785.1366234,212.8092903,778.6145782,279.6798348,768.2497215,344.6423149,807.2542763,215.3223163,799.2281914,283.4219027,782.4655151,349.8992407,4.28,1.99,8.06,5.12,0.4,6.68
267,30,-22.36249924,-21467.99927,-5.329856873,-32.23531723,-4.47429657,785.1350784,212.7930361,778.6026764,279.6741378,768.257103,344.6351695,807.2543335,215.3054023,799.2288208,283.4081268,782.456646,349.8805726,4.29,1.97,8.06,5.11,0.4,6.68
322,30,-22.36003876,-21465.63721,-5.313262939,-32.23657608,-4.479675293,785.1343918,212.7826399,778.5938644,279.6700501,768.2612801,344.6285391,807.2541618,215.2860582,799.2291641,283.3951879,782.4509239,349.8686635,4.29,1.96,8.07,5.11,0.39,6.69
425,30,-22.35569,-21461.4624,-5.285224915,-32.23909378,-4.488830566,785.133419,212.7650982,778.5811043,279.6628404,768.2680321,344.6186578,807.2546768,215.2640587,799.2296791,283.3760369,782.4418259,349.8430109,4.29,1.95,8.07,5.1,0.39,6.7
479,30,-22.35351563,-21459.375,-5.274295807,-32.24029541,-4.49180603,785.1324463,212.7538329,778.5759544,279.660362,768.2709503,344.6137977,807.2545052,215.2499771,799.2300224,283.3681512,782.4373055,349.8321962,4.3,1.94,8.08,5.09,0.39,6.7
